TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
439381946939232257    en    -7.27E+01    es    wrong
439389330533273600    es    -1.36E+02    es    correct
439392779786285056    es    -7.25E+01    es    correct
439393603845373952    pt    -2.23E+01    es    wrong
439395306464346112    eu    -5.87E+01    eu    correct
439403680245493760    pt    -2.04E+01    es    wrong
439407703358967808    es    -1.28E+02    es    correct
439408603167211520    es    -7.79E+01    es    correct
439410377286492160    en    -7.24E+01    es    wrong
439411327971643392    pt    -1.30E+02    es    wrong
439414230413217792    en    -9.89E+01    es    wrong
439415113045778432    eu    -2.92E+01    eu    correct
439420783698640896    es    -2.85E+01    es    correct
439428207222484992    en    -2.40E+01    es    wrong
439435803983634432    es    -6.13E+01    es    correct
439437804352057344    es    -3.66E+01    es    correct
439438406117232640    es    -7.17E+01    es    correct
439449097658195968    ca    -1.37E+02    es    wrong
439455534304210944    eu    -6.93E+01    eu    correct
439460634212970496    en    -3.62E+01    es    wrong
439461162816905216    es    -8.03E+01    es    correct
439461272560877569    es    -4.35E+01    es    correct
439467342360485888    ca    -3.25E+01    en    wrong
439473200100282368    es    -1.67E+01    es    correct
439480968534298625    es    -5.28E+01    es    correct
439482014878941185    ca    -2.54E+01    es    wrong
439484110122524672    eu    -7.54E+01    es    wrong
439484501455302657    gl    -3.73E+01    es    wrong
439487980601106432    ca    -3.77E+01    es    wrong
439498752056123392    es    -1.11E+02    es    correct
439503131714797570    pt    -4.23E+01    es    wrong
439504494284800000    ca    -5.65E+01    eu    wrong
439505183505387520    pt    -6.41E+01    es    wrong
439507371220828160    es    -1.01E+02    es    correct
439507713610231810    es    -2.47E+01    es    correct
439513724815421440    eu    -5.30E+01    es    wrong
439516149727117313    pt    -8.84E+01    es    wrong
439516952927952897    ca    -4.32E+01    es    wrong
439518973169008640    es    -6.42E+01    es    correct
439520703696883713    en    -1.27E+01    es    wrong
439522984446144512    en    -5.88E+01    es    wrong
439525439430995968    es    -5.28E+01    es    correct
439534259318312960    ca    -5.91E+01    es    wrong
439535499850813441    es    -4.53E+01    es    correct
439535613822664704    eu    -9.63E+00    es    wrong
439536938664878080    ca    -1.16E+02    es    wrong
439537235042766848    es    -1.20E+02    es    correct
439537999442112512    pt    -3.84E+01    es    wrong
439540887056838656    eu    -5.79E+01    es    wrong
439541111531790336    es    -7.17E+01    es    correct
439542604355870720    es    -1.22E+02    es    correct
439542606624993280    pt    -5.37E+01    es    wrong
439555042723766272    pt    -6.92E+01    es    wrong
439558368873971712    ca    -9.03E+01    es    wrong
439560861586558976    eu    -9.01E+01    es    wrong
439567982818525184    pt    -3.62E+01    es    wrong
439577257435463680    es    -5.46E+01    es    correct
439608667051405312    es    -8.87E+01    es    correct
439637547665612800    pt    -3.93E+01    es    wrong
439645755952070656    pt    -1.16E+02    es    wrong
439657427320180736    ca    -1.41E+02    es    wrong
439663966571495425    es    -5.88E+01    es    correct
439670178251829248    es    -1.16E+02    es    correct
439684933595197440    es    -4.11E+01    es    correct
439687870098726913    ca    -3.40E+01    es    wrong
439687998012395520    es    -3.06E+01    es    correct
439688683978248192    es    -7.24E+01    es    correct
439692909018099712    eu    -1.69E+01    eu    correct
439696075122028544    pt    -8.80E+01    es    wrong
439697970804834304    eu    -4.47E+01    es    wrong
439701625616474112    gl    -1.68E+01    es    wrong
439706164432224256    eu    -4.67E+01    eu    correct
439709342955474944    pt    -6.20E+01    es    wrong
439713198129025024    es    -1.66E+01    es    correct
439714893332508672    en    -3.68E+01    eu    wrong
439718759201509376    es    -2.59E+01    es    correct
439719845756940288    pt    -3.77E+01    es    wrong
439722026287529984    eu    -2.56E+01    es    wrong
439723376354287616    es    -1.33E+02    es    correct
439723585494859777    en    -5.95E+01    es    wrong
439723745511743488    pt    -3.70E+01    es    wrong
439725940768538624    pt    -2.03E+01    es    wrong
439726309103898624    es    -1.09E+02    es    correct
439728314744586240    es    -5.39E+01    es    correct
439733759790030848    en    -4.03E+01    es    wrong
439734193401397248    eu    -1.62E+01    en    wrong
439735656383012864    pt    -3.13E+01    es    wrong
439739248175226881    gl    -2.22E+01    es    wrong
439741213668020224    eu    -9.92E+01    es    wrong
439742711311380480    gl    -2.52E+01    es    wrong
439743216196521985    es    -5.54E+01    es    correct
439744756328169472    pt    -4.39E+01    es    wrong
439745131479322625    es    -2.86E+01    es    correct
439745133052186625    es    -7.87E+01    es    correct
439748495395020800    eu    -9.30E+01    es    wrong
439751898217070592    es    -9.48E+01    es    correct
439753018041708546    es    -1.33E+02    es    correct
439755659622776832    es    -2.23E+01    es    correct
439756762099351552    es    -1.51E+01    es    correct
439758392232792064    es    -3.56E+01    es    correct
439758892613238784    es    -8.00E+01    es    correct
439760308354441217    es    -1.20E+02    es    correct
439762722088316929    gl    -2.02E+01    es    wrong
439765878427897856    es    -2.40E+01    es    correct
439771958402891776    es    -5.71E+01    es    correct
439772132441358336    pt    -3.43E+01    es    wrong
439772487346565121    en    -1.25E+02    en    correct
439772647812263936    es    -7.88E+01    es    correct
439772990923079681    es    -1.16E+02    es    correct
439774469381709824    es    -2.17E+01    es    correct
439777421014102016    es    -5.11E+01    es    correct
439778173753249792    es    -5.19E+01    es    correct
439778197543321600    pt    -9.05E+00    es    wrong
439779027084410880    ca    -6.51E+01    es    wrong
439779529671065601    ca    -2.58E+01    es    wrong
439780360181010432    en    -5.15E+01    es    wrong
439781041231122432    es    -7.13E+01    es    correct
439782848011460609    es    -7.74E+01    es    correct
439791245490405376    es    -1.20E+02    es    correct
439793773376458753    es    -8.21E+01    es    correct
439794545736577024    es    -9.76E+01    es    correct
439796156428996608    eu    -1.80E+01    eu    correct
439799132828741632    es    -1.52E+02    en    wrong
439803817732091904    es    -7.10E+01    es    correct
439805403736858624    en    -5.51E+01    es    wrong
439806238755659776    eu    -9.76E+01    eu    correct
439811780182020096    es    -9.12E+01    es    correct
439833479644450816    eu    -7.73E+01    eu    correct
439843120029917185    pt    -6.80E+01    es    wrong
439850245397413889    en    -4.73E+01    eu    wrong
439851117883949056    ca    -4.53E+01    es    wrong
439855891396177920    es    -3.85E+01    es    correct
439860023263789056    es    -1.44E+02    es    correct
439863014502981632    eu    -7.87E+01    eu    correct
439865566594367489    eu    -3.92E+01    eu    correct
439866488997310464    pt    -2.14E+01    es    wrong
439867278801526785    es    -6.56E+01    es    correct
439868487641890816    ca    -1.89E+01    es    wrong
439877239271088128    es    -2.82E+01    es    correct
439877973643370496    es    -8.56E+01    es    correct
439880060351578112    en    -1.44E+02    en    correct
439880758489284608    es    -1.09E+02    es    correct
439881764405018624    es    -1.03E+02    es    correct
