TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
439381946939232257    en    -3.51E+02    es    wrong
439389330533273600    ca    -5.32E+02    es    wrong
439392779786285056    ca    -2.54E+02    es    wrong
439393603845373952    ca    -9.51E+01    es    wrong
439395306464346112    ca    -1.53E+02    eu    wrong
439403680245493760    ca    -8.38E+01    es    wrong
439407703358967808    ca    -4.82E+02    es    wrong
439408603167211520    ca    -3.36E+02    es    wrong
439410377286492160    ca    -4.36E+02    es    wrong
439411327971643392    ca    -4.81E+02    es    wrong
439414230413217792    ca    -4.53E+02    es    wrong
439415113045778432    eu    -7.04E+01    eu    correct
439420783698640896    ca    -9.05E+01    es    wrong
439428207222484992    ca    -7.29E+01    es    wrong
439435803983634432    ca    -2.43E+02    es    wrong
439437804352057344    gl    -1.64E+02    es    wrong
439438406117232640    ca    -2.76E+02    es    wrong
439449097658195968    ca    -4.68E+02    es    wrong
439455534304210944    eu    -1.63E+02    eu    correct
439460634212970496    ca    -1.85E+02    es    wrong
439461162816905216    pt    -3.17E+02    es    wrong
439461272560877569    en    -1.93E+02    es    wrong
439467342360485888    ca    -2.14E+02    en    wrong
439473200100282368    ca    -6.70E+01    es    wrong
439480968534298625    ca    -2.80E+02    es    wrong
439482014878941185    ca    -1.01E+02    es    wrong
439484110122524672    ca    -4.79E+02    es    wrong
439484501455302657    en    -1.07E+02    es    wrong
439487980601106432    ca    -2.43E+02    es    wrong
439498752056123392    ca    -4.43E+02    es    wrong
439503131714797570    ca    -1.29E+02    es    wrong
439504494284800000    ca    -1.70E+02    eu    wrong
439505183505387520    ca    -2.30E+02    es    wrong
439507371220828160    ca    -4.64E+02    es    wrong
439507713610231810    en    -1.07E+02    es    wrong
439513724815421440    gl    -1.37E+02    es    wrong
439516149727117313    ca    -3.43E+02    es    wrong
439516952927952897    ca    -2.40E+02    es    wrong
439518973169008640    gl    -2.88E+02    es    wrong
439520703696883713    ca    -2.61E+01    es    wrong
439522984446144512    en    -2.11E+02    es    wrong
