TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
439381946939232257    gl    -1.20E+02    es    wrong
439389330533273600    gl    -2.29E+02    es    wrong
439392779786285056    gl    -1.15E+02    es    wrong
439393603845373952    eu    -3.83E+01    es    wrong
439395306464346112    eu    -7.19E+01    eu    correct
439403680245493760    gl    -3.09E+01    es    wrong
439407703358967808    gl    -2.26E+02    es    wrong
439408603167211520    gl    -1.30E+02    es    wrong
439410377286492160    gl    -1.48E+02    es    wrong
439411327971643392    gl    -2.25E+02    es    wrong
439414230413217792    eu    -1.54E+02    es    wrong
439415113045778432    eu    -3.26E+01    eu    correct
439420783698640896    eu    -4.14E+01    es    wrong
439428207222484992    eu    -3.38E+01    es    wrong
439435803983634432    gl    -9.91E+01    es    wrong
439437804352057344    eu    -7.17E+01    es    wrong
439438406117232640    gl    -1.06E+02    es    wrong
439449097658195968    gl    -2.26E+02    es    wrong
439455534304210944    eu    -8.19E+01    eu    correct
439460634212970496    eu    -5.64E+01    es    wrong
439461162816905216    gl    -1.40E+02    es    wrong
439461272560877569    es    -7.35E+01    es    correct
439467342360485888    eu    -5.13E+01    en    wrong
439473200100282368    gl    -2.70E+01    es    wrong
439480968534298625    gl    -9.47E+01    es    wrong
439482014878941185    eu    -4.52E+01    es    wrong
439484110122524672    es    -1.33E+02    es    correct
439484501455302657    es    -3.13E+01    es    correct
439487980601106432    gl    -6.65E+01    es    wrong
439498752056123392    eu    -1.95E+02    es    wrong
