TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
439381946939232257    es    -2.63E+02    es    correct
439389330533273600    pt    -5.00E+02    es    wrong
439392779786285056    pt    -2.15E+02    es    wrong
439393603845373952    en    -7.29E+01    es    wrong
439395306464346112    eu    -1.23E+02    eu    correct
439403680245493760    en    -5.12E+01    es    wrong
439407703358967808    es    -4.29E+02    es    correct
439408603167211520    es    -2.36E+02    es    correct
439410377286492160    en    -3.07E+02    es    wrong
439411327971643392    eu    -4.51E+02    es    wrong
439414230413217792    es    -3.22E+02    es    correct
439415113045778432    en    -6.96E+01    eu    wrong
439420783698640896    pt    -6.31E+01    es    wrong
439428207222484992    en    -6.84E+01    es    wrong
439435803983634432    en    -1.85E+02    es    wrong
439437804352057344    pt    -1.25E+02    es    wrong
439438406117232640    en    -2.21E+02    es    wrong
439449097658195968    eu    -4.36E+02    es    wrong
439455534304210944    es    -1.56E+02    eu    wrong
439460634212970496    es    -1.36E+02    es    correct
439461162816905216    pt    -2.83E+02    es    wrong
439461272560877569    gl    -8.91E+01    es    wrong
439467342360485888    en    -1.21E+02    en    correct
439473200100282368    eu    -5.49E+01    es    wrong
439480968534298625    es    -1.98E+02    es    correct
439482014878941185    eu    -8.61E+01    es    wrong
439484110122524672    gl    -2.38E+02    es    wrong
439484501455302657    gl    -4.64E+01    es    wrong
439487980601106432    en    -1.58E+02    es    wrong
439498752056123392    eu    -3.93E+02    es    wrong
439503131714797570    pt    -1.22E+02    es    wrong
439504494284800000    es    -1.66E+02    eu    wrong
439505183505387520    eu    -1.43E+02    es    wrong
439507371220828160    pt    -3.72E+02    es    wrong
439507713610231810    en    -8.51E+01    es    wrong
439513724815421440    eu    -1.04E+02    es    wrong
439516149727117313    en    -2.89E+02    es    wrong
439516952927952897    es    -1.69E+02    es    correct
439518973169008640    eu    -1.94E+02    es    wrong
439520703696883713    en    -2.39E+01    es    wrong
439522984446144512    es    -1.67E+02    es    correct
439525439430995968    eu    -1.76E+02    es    wrong
439534259318312960    es    -2.20E+02    es    correct
439535499850813441    pt    -1.04E+02    es    wrong
439535613822664704    eu    -5.15E+01    es    wrong
439536938664878080    en    -3.56E+02    es    wrong
439537235042766848    es    -4.36E+02    es    correct
439537999442112512    en    -1.18E+02    es    wrong
439540887056838656    es    -1.51E+02    es    correct
439541111531790336    pt    -2.12E+02    es    wrong
439542604355870720    es    -4.72E+02    es    correct
439542606624993280    pt    -1.39E+02    es    wrong
439555042723766272    pt    -1.99E+02    es    wrong
439558368873971712    es    -2.75E+02    es    correct
439560861586558976    gl    -2.78E+02    es    wrong
439567982818525184    pt    -8.51E+01    es    wrong
439577257435463680    eu    -2.00E+02    es    wrong
439608667051405312    eu    -2.78E+02    es    wrong
439637547665612800    eu    -1.37E+02    es    wrong
439645755952070656    pt    -3.77E+02    es    wrong
439657427320180736    en    -4.46E+02    es    wrong
439663966571495425    pt    -1.88E+02    es    wrong
439670178251829248    es    -4.88E+02    es    correct
439684933595197440    es    -1.60E+02    es    correct
439687870098726913    pt    -8.41E+01    es    wrong
439687998012395520    pt    -7.06E+01    es    wrong
439688683978248192    en    -2.99E+02    es    wrong
439692909018099712    eu    -4.05E+01    eu    correct
439696075122028544    en    -2.55E+02    es    wrong
439697970804834304    es    -1.36E+02    es    correct
439701625616474112    es    -3.02E+01    es    correct
439706164432224256    eu    -1.13E+02    eu    correct
439709342955474944    es    -2.26E+02    es    correct
439713198129025024    gl    -4.47E+01    es    wrong
439714893332508672    es    -5.16E+01    eu    wrong
439718759201509376    en    -7.90E+01    es    wrong
439719845756940288    eu    -8.44E+01    es    wrong
439722026287529984    eu    -7.34E+01    es    wrong
439723376354287616    pt    -4.26E+02    es    wrong
439723585494859777    es    -2.39E+02    es    correct
439723745511743488    pt    -1.05E+02    es    wrong
439725940768538624    es    -7.21E+01    es    correct
439726309103898624    eu    -3.66E+02    es    wrong
439728314744586240    pt    -1.34E+02    es    wrong
439733759790030848    es    -1.53E+02    es    correct
439734193401397248    eu    -3.32E+01    en    wrong
439735656383012864    eu    -9.80E+01    es    wrong
439739248175226881    eu    -5.85E+01    es    wrong
439741213668020224    es    -3.49E+02    es    correct
439742711311380480    eu    -8.85E+01    es    wrong
439743216196521985    eu    -1.72E+02    es    wrong
439744756328169472    pt    -1.16E+02    es    wrong
